Code,Company,Link,"Market Cap","Last trade",Change,%Change,Sector
ASX:SKUK,"Hejaz Sukuk Active ETF (Managed Fund) (ASX:SKUK)",https://www.listcorp.com/asx/skuk/hejaz-sukuk-active-etf-managed-fund,"	5655990",1.005,-0.02,-1.95,Unclassified
ASX:CMO,"Cosmo Metals Limited (ASX:CMO)",https://www.listcorp.com/asx/cmo/cosmo-metals-limited,"	5638890",0.044,0.00,0,Materials
ASX:RAN,"Range International Limited (ASX:RAN)",https://www.listcorp.com/asx/ran/range-international-limited,"	5635740",0.006,0.00,0,Materials
ASX:ICG,"Inca Minerals Limited (ASX:ICG)",https://www.listcorp.com/asx/icg/inca-minerals-limited,"	5633170",0.007,0.00,0,Materials
ASX:PAT,"Patriot Lithium Limited (ASX:PAT)",https://www.listcorp.com/asx/pat/patriot-lithium-limited,"	5587940",0.054,0.00,0,Materials
ASX:CR9,"Corella Resources Ltd (ASX:CR9)",https://www.listcorp.com/asx/cr9/corella-resources-ltd,"	5581110",0.012,0.00,0,Materials
ASX:DES,"Desoto Resources Limited (ASX:DES)",https://www.listcorp.com/asx/des/desoto-resources-limited,"	5573160",0.091,-0.00,-2.15,Materials
ASX:BSN,"Basin Energy Limited (ASX:BSN)",https://www.listcorp.com/asx/bsn/basin-energy-limited,"	5571040",0.067,0.00,0,Energy
ASX:WHK,"WhiteHawk Limited (ASX:WHK)",https://www.listcorp.com/asx/whk/whitehawk-limited,"	5549720",0.013,0.00,8.33,"Information Technology"
ASX:AYM,"Australia United Mining Limited (ASX:AYM)",https://www.listcorp.com/asx/aym/australia-united-mining-limited,"	5527730",0.003,0.00,0,Materials
ASX:GR8,"Great Dirt Resources Limited (ASX:GR8)",https://www.listcorp.com/asx/gr8/great-dirt-resources-limited,"	5524490",0.19,0.00,0,Materials
ASX:EDE,"Eden Innovations Ltd (ASX:EDE)",https://www.listcorp.com/asx/ede/eden-innovations,"	5517410",0.0015,0.00,0,Energy
ASX:FRS,"Forrestania Resources Limited (ASX:FRS)",https://www.listcorp.com/asx/frs/forrestania-resources-limited,"	5500720",0.04,0.01,17.65,Materials
ASX:CPM,"Cooper Metals Limited (ASX:CPM)",https://www.listcorp.com/asx/cpm/cooper-metals-limited,"	5484900",0.069,-0.00,-1.43,Materials
